moods,time_segment,city,state,time_zone,temperature_f,weather,profile_id,drink_name,drink_notes
numb|calm|gloomy,afternoon,Bakersfield,CA,America/Los_Angeles,67,clear,cacao_comfort,Cocoa oat,Cocoa; oat milk; and a hint of salt.
gloomy,afternoon,Boston,MA,America/New_York,63,mostly clear,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
happy|motivated|stressed,afternoon,Mesa,AZ,America/Phoenix,39,snow,sparkling_refresh,Citrus cold brew spritz,Cold brew; grapefruit soda; honey; and a twist of lime.
bored|tired,afternoon,Anaheim,CA,America/Los_Angeles,33,snow,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
stressed|hopeful|angry,morning,Colorado Springs,CO,America/Denver,60,thunderstorm,house_blend,Clean shot cortado,Ristretto; silky milk; and a hint of cacao nib.
calm|sad|gloomy,morning,Toledo,OH,America/New_York,71,thunderstorm,house_blend,Lavender oat flat white,Oat milk flat white with lavender and vanilla.
gloomy|angry|happy,morning,El Paso,TX,America/Denver,48,fog,cacao_comfort,Mocha drizzle,Espresso; cocoa; and dark sugar.
lonely|gloomy|stressed,morning,Mesa,AZ,America/Phoenix,48,showers,house_blend,Vanilla oat cappuccino,Espresso; oat milk foam; and vanilla bean.
angry|restless,afternoon,Phoenix,AZ,America/Phoenix,78,clear,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
anxious|calm|hopeful,morning,Lincoln,NE,America/Chicago,46,fog,tea_floral,Ginger citrus tea,Black tea; ginger; lemon; and a touch of honey.
angry|curious|motivated,afternoon,Nashville,TN,America/Chicago,61,showers,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
lonely|hopeful|calm,afternoon,Boston,MA,America/New_York,84,clear,espresso_smooth,Honey almond latte,Espresso; almond milk; and soft honey.
angry|anxious,evening,Miami,FL,America/New_York,64,mixed conditions,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
gloomy,evening,Anaheim,CA,America/Los_Angeles,81,clear,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
anxious|sad|stressed,morning,Kansas City,MO,America/Chicago,64,rain,tea_floral,Ginger citrus tea,Black tea; ginger; lemon; and a touch of honey.
angry|curious|numb,afternoon,Arlington,TX,America/Chicago,61,clear,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
gloomy,afternoon,San Antonio,TX,America/Chicago,83,clear,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
angry|motivated,afternoon,Mesa,AZ,America/Phoenix,68,thunderstorm,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
angry,morning,St. Paul,MN,America/Chicago,37,snow,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
restless,morning,Lincoln,NE,America/Chicago,51,mostly clear,cold_brew_refresh,Bright lime cold brew,Cold brew; lime; and a touch of agave.
angry|hopeful|anxious,morning,Chicago,IL,America/Chicago,82,mixed conditions,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
angry,afternoon,Raleigh,NC,America/New_York,69,overcast,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
lonely|restless,morning,Irvine,CA,America/Los_Angeles,60,overcast,house_blend,Vanilla oat cappuccino,Espresso; oat milk foam; and vanilla bean.
curious|sad|motivated,evening,Detroit,MI,America/Detroit,51,fog,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
sad|angry|anxious,afternoon,Lincoln,NE,America/Chicago,48,drizzle,espresso_smooth,Honey oat latte,Espresso; oat milk; and a slow drizzle of honey.
gloomy,evening,Mesa,AZ,America/Phoenix,53,drizzle,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
sad|anxious|stressed,afternoon,Oakland,CA,America/Los_Angeles,60,clear,espresso_smooth,Honey oat latte,Espresso; oat milk; and a slow drizzle of honey.
calm|curious|bored,afternoon,Mesa,AZ,America/Phoenix,63,thunderstorm,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
gloomy|sad|curious,afternoon,Fort Worth,TX,America/Chicago,48,drizzle,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
angry,morning,Phoenix,AZ,America/Phoenix,50,overcast,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
lonely|angry,morning,Lexington,KY,America/New_York,56,fog,house_blend,Vanilla oat cappuccino,Espresso; oat milk foam; and vanilla bean.
anxious|motivated|calm,evening,Oakland,CA,America/Los_Angeles,53,showers,house_blend,Warm almond cacao,Cacao; almond milk; and a pinch of cinnamon.
tired|hopeful,afternoon,Fresno,CA,America/Los_Angeles,51,fog,tea_floral,Maple chai blanket,Black tea; chai spice; maple; and vanilla cream.
calm|happy,afternoon,St. Paul,MN,America/Chicago,69,clear,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
angry,evening,Philadelphia,PA,America/New_York,52,rain,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
bored|hopeful|calm,afternoon,Minneapolis,MN,America/Chicago,49,fog,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
gloomy,afternoon,Anaheim,CA,America/Los_Angeles,83,clear,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
angry|anxious|gloomy,afternoon,Austin,TX,America/Chicago,78,thunderstorm,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
happy,afternoon,Chicago,IL,America/Chicago,61,mixed conditions,sparkling_refresh,Citrus cold brew spritz,Cold brew; grapefruit soda; honey; and a twist of lime.
angry|hopeful,morning,Plano,TX,America/Chicago,61,showers,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
bored|stressed|curious,afternoon,Atlanta,GA,America/New_York,53,drizzle,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
angry|stressed|motivated,morning,El Paso,TX,America/Denver,66,thunderstorm,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
sad|anxious,morning,Oakland,CA,America/Los_Angeles,84,mixed conditions,cacao_comfort,Soft cacao mocha,Espresso; cocoa; vanilla; and warm milk.
numb|tired,afternoon,Plano,TX,America/Chicago,63,rain,cacao_comfort,Cocoa oat,Cocoa; oat milk; and a hint of salt.
sad|stressed|bored,afternoon,San Antonio,TX,America/Chicago,58,overcast,espresso_smooth,Honey oat latte,Espresso; oat milk; and a slow drizzle of honey.
restless|angry,morning,Cleveland,OH,America/New_York,50,mostly clear,cold_brew_refresh,Bright lime cold brew,Cold brew; lime; and a touch of agave.
bored|motivated,evening,Chicago,IL,America/Chicago,71,thunderstorm,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
tired,morning,Denver,CO,America/Denver,79,thunderstorm,espresso_smooth,Toasted hazelnut latte,Espresso; steamed oat milk; hazelnut; and cinnamon dust.
happy|gloomy|angry,afternoon,Houston,TX,America/Chicago,72,thunderstorm,sparkling_refresh,Citrus cold brew spritz,Cold brew; grapefruit soda; honey; and a twist of lime.
gloomy|angry|calm,morning,Sacramento,CA,America/Los_Angeles,61,showers,cacao_comfort,Mocha drizzle,Espresso; cocoa; and dark sugar.
motivated|hopeful,afternoon,Mesa,AZ,America/Phoenix,74,thunderstorm,cold_brew_refresh,Iced oat americano,Espresso; water; and a splash of oat milk.
gloomy,afternoon,Santa Ana,CA,America/Los_Angeles,66,mostly clear,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
tired|anxious|angry,evening,New York,NY,America/New_York,63,showers,tea_floral,Cocoa hush steamer,Cocoa; brown sugar; cinnamon; and warm almond milk.
lonely|curious,evening,Lexington,KY,America/New_York,30,snow,cacao_comfort,Cocoa comfort,Cocoa; warm milk; and a pinch of cinnamon.
anxious,evening,Pittsburgh,PA,America/New_York,59,showers,house_blend,Warm almond cacao,Cacao; almond milk; and a pinch of cinnamon.
calm|hopeful|happy,evening,El Paso,TX,America/Denver,57,showers,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
anxious|lonely|bored,morning,St. Paul,MN,America/Chicago,44,drizzle,tea_floral,Ginger citrus tea,Black tea; ginger; lemon; and a touch of honey.
sad,morning,Philadelphia,PA,America/New_York,54,drizzle,cacao_comfort,Soft cacao mocha,Espresso; cocoa; vanilla; and warm milk.
angry|anxious|lonely,afternoon,Fort Wayne,IN,America/Indiana/Indianapolis,63,clear,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
calm|stressed|bored,morning,Chicago,IL,America/Chicago,59,overcast,house_blend,Lavender oat flat white,Oat milk flat white with lavender and vanilla.
curious|hopeful,evening,Raleigh,NC,America/New_York,81,mixed conditions,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
gloomy|bored,evening,Raleigh,NC,America/New_York,63,mostly clear,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
lonely|happy,afternoon,Orlando,FL,America/New_York,72,thunderstorm,espresso_smooth,Honey almond latte,Espresso; almond milk; and soft honey.
curious,morning,Riverside,CA,America/Los_Angeles,40,fog,house_blend,Cardamom cortado,Espresso; milk; and cardamom.
curious|restless,evening,Bakersfield,CA,America/Los_Angeles,74,mixed conditions,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
restless|hopeful,afternoon,Minneapolis,MN,America/Chicago,44,drizzle,espresso_bold,Minted espresso shaker,Espresso; mint; and lightly sweetened milk.
numb|calm,afternoon,Chula Vista,CA,America/Los_Angeles,75,thunderstorm,cacao_comfort,Cocoa oat,Cocoa; oat milk; and a hint of salt.
tired|motivated|numb,afternoon,Chula Vista,CA,America/Los_Angeles,67,thunderstorm,tea_floral,Maple chai blanket,Black tea; chai spice; maple; and vanilla cream.
angry,evening,Minneapolis,MN,America/Chicago,64,clear,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
numb,morning,Las Vegas,NV,America/Los_Angeles,37,snow,espresso_smooth,Warm vanilla latte,Espresso; vanilla; and steamed milk.
tired|lonely,evening,Corpus Christi,TX,America/Chicago,60,clear,tea_floral,Cocoa hush steamer,Cocoa; brown sugar; cinnamon; and warm almond milk.
angry|happy,evening,Washington,DC,America/New_York,53,fog,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
bored|sad,afternoon,Tampa,FL,America/New_York,69,clear,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
angry|bored,afternoon,Fort Worth,TX,America/Chicago,59,showers,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
angry|lonely|numb,evening,Portland,OR,America/Los_Angeles,55,rain,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
angry|tired,morning,Fort Worth,TX,America/Chicago,49,rain,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
happy|gloomy,morning,Columbus,OH,America/New_York,66,thunderstorm,sparkling_refresh,Sunrise espresso tonic,Double espresso; tonic; orange peel; and rosemary mist.
sad,evening,Albuquerque,NM,America/Denver,62,rain,house_blend,Vanilla chamomile,Chamomile tea; vanilla bean; and steamed milk.
hopeful|angry|sad,evening,Seattle,WA,America/Los_Angeles,63,thunderstorm,espresso_smooth,Lavender honey latte,Espresso; lavender; and honey.
tired|motivated|calm,evening,Minneapolis,MN,America/Chicago,31,snow,tea_floral,Cocoa hush steamer,Cocoa; brown sugar; cinnamon; and warm almond milk.
lonely|stressed|curious,afternoon,Indianapolis,IN,America/Indiana/Indianapolis,37,snow,espresso_smooth,Honey almond latte,Espresso; almond milk; and soft honey.
anxious,morning,San Jose,CA,America/Los_Angeles,51,showers,tea_floral,Ginger citrus tea,Black tea; ginger; lemon; and a touch of honey.
happy|gloomy|motivated,evening,Santa Ana,CA,America/Los_Angeles,78,thunderstorm,matcha_creamy,Golden matcha cloud,Matcha; oat milk; turmeric; and a salted honey cap.
calm,afternoon,Las Vegas,NV,America/Los_Angeles,42,drizzle,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
bored,evening,Lexington,KY,America/New_York,56,mostly clear,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
hopeful|stressed,morning,Denver,CO,America/Denver,69,mixed conditions,matcha_creamy,Citrus matcha,Matcha; lemon; and oat milk.
angry,morning,Milwaukee,WI,America/Chicago,61,rain,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
gloomy,evening,Nashville,TN,America/Chicago,34,snow,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
lonely|hopeful|happy,evening,Oakland,CA,America/Los_Angeles,67,mixed conditions,cacao_comfort,Cocoa comfort,Cocoa; warm milk; and a pinch of cinnamon.
sad|stressed,afternoon,Pittsburgh,PA,America/New_York,64,clear,espresso_smooth,Honey oat latte,Espresso; oat milk; and a slow drizzle of honey.
bored|happy,evening,Columbus,OH,America/New_York,59,mixed conditions,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
bored,evening,Houston,TX,America/Chicago,40,fog,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
calm|angry,evening,Lincoln,NE,America/Chicago,64,showers,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
angry,evening,Orlando,FL,America/New_York,57,fog,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
anxious,afternoon,Albuquerque,NM,America/Denver,73,clear,espresso_smooth,Rosey oat latte,Espresso; oat milk; rose syrup; and cardamom.
angry|gloomy|curious,afternoon,Philadelphia,PA,America/New_York,61,mostly clear,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
motivated|numb|curious,evening,Bakersfield,CA,America/Los_Angeles,33,snow,tea_floral,Cascara tea,Coffee cherry tea; citrus; and honey.
angry|gloomy|restless,evening,Boston,MA,America/New_York,46,showers,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
bored|anxious|motivated,morning,San Francisco,CA,America/Los_Angeles,60,showers,matcha_creamy,Tropical iced matcha,Matcha; coconut milk; pineapple; and lime zest.
angry|anxious,morning,Irvine,CA,America/Los_Angeles,45,rain,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
calm,afternoon,Kansas City,MO,America/Chicago,60,overcast,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
gloomy,evening,Philadelphia,PA,America/New_York,76,thunderstorm,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
restless|hopeful,evening,Baltimore,MD,America/New_York,55,rain,cacao_comfort,Peppermint mocha,Espresso; cocoa; peppermint; and steamed milk.
angry,evening,Atlanta,GA,America/New_York,69,overcast,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
curious|calm,afternoon,Mesa,AZ,America/Phoenix,62,overcast,cold_brew_refresh,Yuzu cold brew,Cold brew; yuzu; and sparkling water.
motivated|stressed,morning,Milwaukee,WI,America/Chicago,60,clear,house_blend,Straight shot macchiato,Espresso with a spoon of foam.
sad|lonely,evening,Washington,DC,America/New_York,34,snow,house_blend,Vanilla chamomile,Chamomile tea; vanilla bean; and steamed milk.
hopeful|curious,morning,Wichita,KS,America/Chicago,62,thunderstorm,matcha_creamy,Citrus matcha,Matcha; lemon; and oat milk.
restless|calm|stressed,afternoon,Austin,TX,America/Chicago,75,mixed conditions,espresso_bold,Minted espresso shaker,Espresso; mint; and lightly sweetened milk.
tired|stressed|gloomy,afternoon,Columbus,OH,America/New_York,49,drizzle,tea_floral,Maple chai blanket,Black tea; chai spice; maple; and vanilla cream.
calm|angry|happy,evening,Greensboro,NC,America/New_York,40,fog,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
stressed,afternoon,Aurora,CO,America/Denver,57,mostly clear,tea_floral,Black tea tonic,Assam tea; tonic; lemon; and a touch of sage.
angry|tired,morning,Los Angeles,CA,America/Los_Angeles,71,clear,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
angry|motivated|restless,morning,Oklahoma City,OK,America/Chicago,72,thunderstorm,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
curious,evening,Atlanta,GA,America/New_York,61,clear,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
curious,morning,San Diego,CA,America/Los_Angeles,64,mostly clear,house_blend,Cardamom cortado,Espresso; milk; and cardamom.
stressed|motivated|calm,evening,Baltimore,MD,America/New_York,54,showers,tea_floral,Jasmine clarity latte,Jasmine tea concentrate; milk; and a whisper of honey.
calm|bored|lonely,afternoon,Corpus Christi,TX,America/Chicago,61,rain,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
angry|happy|stressed,evening,San Francisco,CA,America/Los_Angeles,45,rain,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
angry|anxious,afternoon,Mesa,AZ,America/Phoenix,57,drizzle,sparkling_refresh,Hibiscus nitro fizz,Nitro cold brew; hibiscus; berry shrub; and soda.
angry|bored|numb,evening,St. Louis,MO,America/Chicago,57,drizzle,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
happy|sad|bored,evening,New Orleans,LA,America/Chicago,45,rain,matcha_creamy,Golden matcha cloud,Matcha; oat milk; turmeric; and a salted honey cap.
lonely|bored|restless,evening,Fresno,CA,America/Los_Angeles,63,rain,cacao_comfort,Cocoa comfort,Cocoa; warm milk; and a pinch of cinnamon.
bored|stressed|anxious,afternoon,Oklahoma City,OK,America/Chicago,69,thunderstorm,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
stressed,morning,Philadelphia,PA,America/New_York,62,mostly clear,house_blend,Clean shot cortado,Ristretto; silky milk; and a hint of cacao nib.
tired|motivated|lonely,evening,Tulsa,OK,America/Chicago,72,thunderstorm,tea_floral,Cocoa hush steamer,Cocoa; brown sugar; cinnamon; and warm almond milk.
gloomy|sad|anxious,evening,New York,NY,America/New_York,60,mixed conditions,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
calm,morning,Cincinnati,OH,America/New_York,70,thunderstorm,house_blend,Lavender oat flat white,Oat milk flat white with lavender and vanilla.
anxious|hopeful|gloomy,evening,Minneapolis,MN,America/Chicago,40,fog,house_blend,Warm almond cacao,Cacao; almond milk; and a pinch of cinnamon.
hopeful|anxious|calm,evening,Mesa,AZ,America/Phoenix,41,fog,espresso_smooth,Lavender honey latte,Espresso; lavender; and honey.
restless|angry,evening,Charlotte,NC,America/New_York,59,showers,cacao_comfort,Peppermint mocha,Espresso; cocoa; peppermint; and steamed milk.
anxious,afternoon,Cincinnati,OH,America/New_York,54,drizzle,espresso_smooth,Rosey oat latte,Espresso; oat milk; rose syrup; and cardamom.
